Name,Kategorie,Beschreibung,Verbindlichkeit,Gewicht,Quellen,🧪 Test-Cases,Intern: Relevante Funktionen,Relevante Funktionen
Erkennung von Schlangen,Funktional: Schlangenerkennung,Der Prototyp kann auf Erkennungen von Warteschlangen durch die Kamera “P3265-V“ reagieren.,Muss,10,Autor.,"Erkennung bei einer Person (Test-Cases/Test-Cases/Erkennung%20bei%20einer%20Person%2060bcbb280a464329b4b787534e228764.html), Erkennung bei mehreren Personen (Test-Cases/Test-Cases/Erkennung%20bei%20mehreren%20Personen%20bd34f2f34ea9464f82871ac1469ad2db.html)",https://www.notion.so/5a64705e917141fdb5448bafc2d17438,Schlangenerkennung
Beliebige Integration,Funktional: Schlangenerkennung,Der Prototyp kann auf beliebige externe Events von Kameras der Hersteller “AXIS” und “Hikvision” reagieren.,Kann,6,Autor.,"Erkennung von Fehlern im Bild (Test-Cases/Test-Cases/Erkennung%20von%20Fehlern%20im%20Bild%20770d6b7f07f14fa98796403a6cf2e8ea.html), Erkennung des Eintritts in eine Region (Test-Cases/Test-Cases/Erkennung%20des%20Eintritts%20in%20eine%20Region%204e6355f388ad45b0aa3661cddfbf963e.html), Erkennung einer Linienüberschreitung (Test-Cases/Test-Cases/Erkennung%20einer%20Linien%C3%BCberschreitung%2030270d11c0a54a13852bba5be4cf2ba0.html)","https://www.notion.so/60f23e08132e4af7bab874875f9b773c,https://www.notion.so/cc4a45f6a1c44e22a976b1b18e9cb7be","Fehlererkennung,Regionsmonitoring"
Erkennung von Entnahmen,Funktional: Regalüberwachung,Der Prototyp erkennt Entnahmen aus Regalen basierend auf der Erkennung von Lücken unter Berücksichtigung von Veränderungen.,Kann,10,Autor.,"Entnahme mit neuer Lücke (Test-Cases/Test-Cases/Entnahme%20mit%20neuer%20L%C3%BCcke%20b6aa4a873439482e9e1c20c3e2b84e2f.html), Entnahme ohne neue Lücke (Test-Cases/Test-Cases/Entnahme%20ohne%20neue%20L%C3%BCcke%20ee459ea7bc314710a94a532ee2bf073e.html), Vergrößerung einer Lücke (Test-Cases/Test-Cases/Vergr%C3%B6%C3%9Ferung%20einer%20L%C3%BCcke%2084dfce51390f49f3b08c5a430c0a1408.html), Verdeckung (Test-Cases/Test-Cases/Verdeckung%2038bc133f93de4a77851f1d70ac0b4f65.html)",https://www.notion.so/adcd7a038e984cb1a2cf5b0d6dd90b2a,Abräumerkennung
Erkennung von Lücken,Funktional: Regalüberwachung,Der Prototyp erkennt Lücken in Regalen.,Muss,10,Autor.,"Erkennung von Lücken in einem Standbild (Test-Cases/Test-Cases/Erkennung%20von%20L%C3%BCcken%20in%20einem%20Standbild%2040cda1f22a0c43b49300f90050f0dfa4.html), Erkennung von Lücken in einem Video (Test-Cases/Test-Cases/Erkennung%20von%20L%C3%BCcken%20in%20einem%20Video%201d0638f9329648a0a191999778d4f393.html)",https://www.notion.so/91606106578a4873bf81d968848601f9,Erkennung von leeren Regalen
Darstellung,Funktional: Bewegungssuche,Der Prototyp muss Bewegungen für den markierten Bereich in der Zeitleiste darstellen.,Muss,10,Autor.,Darstellung (Test-Cases/Test-Cases/Darstellung%2031e99755f1be4c4b823f14165f8356ed.html),https://www.notion.so/6c9160bdb9c64b5d8a3802b9f349c476,Bewegungssuche
Bildauswahl,Funktional: Bewegungssuche,Der Nutzer muss einen Bereich für die Bewegungssuche im Archiv markieren können.,Muss,10,Autor.,Darstellung (Test-Cases/Test-Cases/Darstellung%2031e99755f1be4c4b823f14165f8356ed.html),https://www.notion.so/6c9160bdb9c64b5d8a3802b9f349c476,Bewegungssuche
Zeitliche Einordnung von Bewegungen,Funktional: Bewegungssuche,Der Prototyp ordnet Bewegungen zeitlich ein.,Muss,10,Autor.,Winken (Test-Cases/Test-Cases/Winken%203fb31175d0ac446aa46f743ca12292d3.html),https://www.notion.so/6c9160bdb9c64b5d8a3802b9f349c476,Bewegungssuche
Lokalisierung von Bewegungen,Funktional: Bewegungssuche,Der Prototyp ordnet Bewegungen örtlich ein.,Muss,10,Autor.,Winken (Test-Cases/Test-Cases/Winken%203fb31175d0ac446aa46f743ca12292d3.html),https://www.notion.so/6c9160bdb9c64b5d8a3802b9f349c476,Bewegungssuche
Erkennung von Bewegungen,Funktional: Bewegungssuche,Der Prototyp erkennt Bewegungen in einem RTSP-Videostream einer Überwachungskamera.,Muss,10,Autor.,Winken (Test-Cases/Test-Cases/Winken%203fb31175d0ac446aa46f743ca12292d3.html),https://www.notion.so/6c9160bdb9c64b5d8a3802b9f349c476,Bewegungssuche
Persistenz,Funktional: Bewegungssuche,Der Prototyp speichert Erkennungen samt örtlicher und zeitlicher Einordnung auf langfristigem Speicher. Analysedaten verschwinden nicht nach korrekter Terminierung des Prozesses.,Kann,8,Autor.,Neustart (Test-Cases/Test-Cases/Neustart%20b296115b41b7491caa6201a210768de9.html),https://www.notion.so/6c9160bdb9c64b5d8a3802b9f349c476,Bewegungssuche
Stabilität,Eigene Anforderung,Dauerhaft laufendende Analysen funktionieren langfristig ohne Abstürze. Langfristig beschreibt hier eine Zeitspanne von über drei Tagen am Stück.,Kann,8,Autor.,Langfristige Ausführung (Test-Cases/Test-Cases/Langfristige%20Ausf%C3%BChrung%2048f1b16d215646839ba52ac970abda75.html),,
Unabhängigkeit,Kundenanforderung,Der Prototyp darf die Funktionalität der übrigen Software von Adeck Systems nicht durch hohe Ressourcenauslastung negativ beeinflussen.,Kann,10,Ausschreibungen.,Performance-Metriken (Test-Cases/Test-Cases/Performance-Metriken%20ac788986d7ed4a639e573ec0a3b2317f.html),,
Offline,Kundenanforderung,Der Prototyp funktioniert komplett ohne Anbindung an das Internet.,Muss,10,Kunden der Adeck Systems.,Offline (Test-Cases/Test-Cases/Offline%208daf711c93ca4922b7373abad342dd35.html),,
Vermeidung von direkter Beschuldigung,Kundenanforderung,"Das System darf keine Personen direkt beschuldigen sondern nur Hinweise mit Personal kommunizieren, da Ergebnisse manchmal auch falsch sein können.",Kann,9,Interview mit Kunden.,,,
Minimierung der False Positives,Kundenanforderung,Erkennungen sind weniger als 25% False Positives.,Kann,7,"Unterkapitel “Herausforderungen”, Ausschreibungen, Interview mit Axis, Persona Herr Michelmann, Ethische Regeln.",False Positives (Test-Cases/Test-Cases/False%20Positives%207f89640ec86a469e9008012925286aeb.html),,
Vermeidung von Bias,Rechtliche Anforderung,"Die Datasets, die ggf. für das Trainieren verwendet werden, dürfen keinen Bias enthalten, der Menschen benachteiligt.",Muss,10,"Rechtliche Regeln, Ethische Regeln.",,,
Untersagung Gesichtserkennung,Rechtliche Anforderung,Der Prototyp darf keine Gesichtserkennung implementieren.,Muss,10,Rechtliche Regeln.,,,
Untersagung Persistenz personenbezogener Daten,Rechtliche Anforderung,Der Prototyp darf personenbezogene Daten nicht persistent speichern.,Muss,10,Rechtliche Regeln. Deckt auch Vermeidung der Identifizierung ab.,,,
Selektive Kommunikation,Ethische Anforderung,Der Prototyp darf die Ergebnisse seiner Analysen nicht den analysierten Personen mitteilen (z.B. auf Monitoren durch Rahmen oder ähnliches).,Muss,10,Ethische Regeln. Hiermit werden auch Recommender-Systeme verhindert.,,,
Vermeidung von Ausbeutung,Ethische Anforderung,"Die Datasets, die ggf. für das Trainieren verwendet werden, dürfen nicht potenziell mittels Arbeitsausbeutung entstanden sein.",Muss,10,Ethische Regeln.,,,